@relation ThresholdCurve

@attribute Instance_number numeric
@attribute 'True Positives' numeric
@attribute 'False Negatives' numeric
@attribute 'False Positives' numeric
@attribute 'True Negatives' numeric
@attribute 'False Positive Rate' numeric
@attribute 'True Positive Rate' numeric
@attribute Precision numeric
@attribute Recall numeric
@attribute Fallout numeric
@attribute FMeasure numeric
@attribute 'Sample Size' numeric
@attribute Lift numeric
@attribute Threshold numeric

@data
195,445464,21951,495787,36798,0.930907,0.953037,0.473268,0.953037,0.526732,0.632462,0.941251,1.012522,0.376569
196,445447,21968,495753,36832,0.930843,0.953001,0.473276,0.953001,0.526724,0.632461,0.9412,1.012538,0.376987
197,445381,22034,495663,36922,0.930674,0.95286,0.473284,0.95286,0.526716,0.632437,0.941044,1.012556,0.377049
198,445378,22037,495660,36925,0.930668,0.952853,0.473284,0.952853,0.526716,0.632436,0.941038,1.012556,0.377358
199,445370,22045,495641,36944,0.930633,0.952836,0.473289,0.952836,0.526711,0.632436,0.941011,1.012567,0.377778
200,445367,22048,495639,36946,0.930629,0.95283,0.473288,0.95283,0.526712,0.632434,0.941006,1.012565,0.377914
201,445328,22087,495585,37000,0.930528,0.952746,0.473293,0.952746,0.526707,0.632421,0.940913,1.012577,0.377953
202,445324,22091,495582,37003,0.930522,0.952738,0.473293,0.952738,0.526707,0.632418,0.940906,1.012575,0.378166
203,445112,22303,495184,37401,0.929775,0.952284,0.473374,0.952284,0.526626,0.632391,0.940296,1.01275,0.378788
204,445105,22310,495177,37408,0.929761,0.952269,0.473374,0.952269,0.526626,0.632388,0.940282,1.012749,0.379032
205,445101,22314,495169,37416,0.929746,0.952261,0.473376,0.952261,0.526624,0.632387,0.94027,1.012753,0.379085
206,445095,22320,495158,37427,0.929726,0.952248,0.473378,0.952248,0.526622,0.632386,0.940253,1.012757,0.37931
207,445089,22326,495154,37431,0.929718,0.952235,0.473377,0.952235,0.526623,0.632382,0.940243,1.012754,0.379778
208,445050,22365,495096,37489,0.929609,0.952152,0.473384,0.952152,0.526616,0.63237,0.940146,1.01277,0.379808
209,445019,22396,495051,37534,0.929525,0.952085,0.473389,0.952085,0.526611,0.632361,0.94007,1.012781,0.37991
210,444950,22465,494944,37641,0.929324,0.951938,0.473404,0.951938,0.526596,0.632342,0.939894,1.012814,0.380004
211,444735,22680,494514,38071,0.928517,0.951478,0.473501,0.951478,0.526499,0.632326,0.939249,1.01302,0.380042
212,444639,22776,494358,38227,0.928224,0.951272,0.473525,0.951272,0.526475,0.632303,0.938997,1.013073,0.380469
213,444580,22835,494265,38320,0.928049,0.951146,0.473539,0.951146,0.526461,0.632287,0.938845,1.013102,0.380762
214,444555,22860,494230,38355,0.927983,0.951093,0.473543,0.951093,0.526457,0.632278,0.938785,1.01311,0.380952
215,444542,22873,494206,38379,0.927938,0.951065,0.473548,0.951065,0.526452,0.632277,0.938748,1.013121,0.381289
216,444449,22966,494047,38538,0.92764,0.950866,0.473576,0.950866,0.526424,0.632258,0.938496,1.013181,0.381429
217,444419,22996,494009,38576,0.927568,0.950802,0.473578,0.950802,0.526422,0.632246,0.938428,1.013186,0.381443
218,444404,23011,493998,38587,0.927548,0.95077,0.473575,0.95077,0.526425,0.632236,0.938402,1.013179,0.381579
